Designator,Mid X,Mid Y,Rotation,Layer
C1,146.7625,-79.5,0.0,top
C10,98.2,-91.1,180.0,top
C14,96.8,-102.6,90.0,top
C15,94.7,-102.6,270.0,top
C16,102.0,-75.2,0.0,top
C17,90.6675,-92.299999,90.0,top
C18,92.7675,-92.299999,90.0,top
C19,133.3,-90.6,180.0,top
C2,147.8,-82.5875,90.0,top
C20,137.3,-90.6,0.0,top
C3,108.5,-83.6625,90.0,top
C4,110.55,-83.6625,90.0,top
C5,118.7,-90.6,0.0,top
C6,118.7,-92.65,0.0,top
C7,118.7,-94.7,0.0,top
C8,108.5,-102.7,270.0,top
C9,118.7,-88.55,0.0,top
D1,118.7,-85.1875,90.0,top
D2,122.7,-85.1875,90.0,top
D3,126.7,-85.1875,90.0,top
D5,135.3,-73.45,180.0,top
D6,130.7,-85.1875,90.0,top
J1,112.15,-67.05,180.0,top
J2,105.0,-109.6,0.0,top
J3,118.3,-100.95,180.0,top
J4,119.3,-108.55,180.0,top
J5,143.05,-97.7,180.0,top
R1,108.65,-75.2,180.0,top
R10,122.7,-79.9625,270.0,top
R11,126.7,-79.9625,270.0,top
R13,146.55,-74.45,270.0,top
R14,134.7,-79.95,270.0,top
R15,130.7,-79.95,270.0,top
R2,108.65,-73.2,180.0,top
R3,106.45,-102.75,90.0,top
R4,124.8,-90.55,180.0,top
R5,112.6,-85.8125,270.0,top
R6,114.6,-85.8125,270.0,top
R7,92.8175,-97.049999,270.0,top
R8,90.8175,-97.049999,270.0,top
R9,118.7,-79.9375,270.0,top
S1,127.875,-94.075,0.0,top
S2,127.875,-98.125,0.0,top
U1,108.3,-93.7,90.0,top
U2,142.1,-84.3,180.0,top
U3,102.85,-82.7,0.0,top
U4,95.8675,-97.149999,270.0,top
U5,141.45,-74.45,270.0,top
U6,134.8625,-87.15,180.0,top
Y1,101.3,-102.65,90.0,top
